"","GRID_ID","EFH_2010","EFH_2011","EFH_2012","EFH_2013","EFH_2014","STW_2010","STW_2011","STW_2012","STW_2013","STW_2014"
"1463","S-21",0,0,0,0,0,14,14,14,14,14
"1464","S-22",0,0,0,0,0,0,0,0,0,0
"1465","S-23",0,0,0,0,0,8,8,8,20,20
"1466","S-24",286,285,288,287,285,219,219,219,232,226
"1467","S-25",106,106,105,105,106,1162,1162,1166,1160,1166
"1468","S-26",100,100,100,100,99,2046,2046,2052,2037,2075
"1469","S-27",46,46,47,48,47,1535,1589,1613,1613,1614
"1470","S-28",194,193,195,195,195,799,799,806,817,826
"1471","S-29",289,288,289,288,288,1151,1162,1159,1182,1182
"1472","S-30",68,64,64,64,63,1599,1605,1609,1641,1672
"1473","S-31",185,184,184,183,182,2717,2735,2701,2791,2869
"1474","S-32",0,0,0,0,0,6,6,6,6,6
"1475","S-33",58,58,58,58,59,114,116,116,116,116
"1476","S-34",10,10,10,11,11,48,47,50,51,51
"1477","S-35",151,154,156,155,157,716,717,715,719,731
"1478","S-36",138,140,139,138,139,1297,1470,1476,1480,1507
"1479","S-37",238,239,238,235,232,1674,1667,1669,1710,1751
"1480","S-38",319,320,320,313,309,939,947,956,961,984
"1481","S-39",181,180,174,175,174,872,869,890,892,892
"1482","S-40",31,30,30,30,30,608,608,609,604,617
"1483","S-42",11,10,11,10,10,73,79,79,79,79
"1484","S-43",161,163,162,162,163,1329,1333,1334,1324,1320
"1485","S-44",338,340,338,346,345,1342,1342,1336,1329,1333
"1486","S-45",61,58,60,60,61,288,302,288,288,288
"1487","S-46",0,0,0,0,0,9,9,9,9,9
"1488","S-47",4,4,4,4,4,14,14,14,14,14
"1489","S-48",0,0,0,0,0,16,16,16,16,16
"1490","S-49",6,5,6,6,6,0,0,0,0,0
"1491","S-50",6,6,6,6,6,18,18,18,18,18
"1492","T-10",13,13,13,14,14,11,11,11,11,11
"1493","T-11",7,7,7,7,7,8,8,8,8,8
"1494","T-12",0,0,0,0,0,8,8,10,11,11
"1495","T-13",0,0,0,0,0,0,0,0,0,0
"1496","T-14",165,164,165,164,164,79,79,80,86,86
"1497","T-15",0,0,0,0,0,0,0,0,0,0
"1498","T-16",0,0,0,0,0,0,0,0,0,0
"1499","T-17",0,0,0,0,0,0,0,0,0,0
"1500","T-18",100,101,100,100,100,116,121,115,115,115
"1501","T-19",36,38,38,38,38,245,251,255,255,243
"1502","T-20",200,200,200,200,200,1528,1541,1532,1550,1568
"1503","T-21",337,340,342,342,356,882,882,892,897,916
"1504","T-22",152,183,152,154,154,194,199,200,205,205
"1505","T-23",64,33,64,64,64,71,64,96,90,90
"1506","T-24",127,127,127,126,126,42,42,42,44,44
"1507","T-25",22,22,22,22,22,48,48,50,50,48
"1508","T-26",158,157,151,150,150,1994,1998,1991,2032,2032
"1509","T-27",80,80,80,80,79,1559,1560,1566,1568,1568
"1510","T-28",0,0,0,0,0,0,0,0,0,0
"1511","T-29",22,24,22,22,22,61,58,57,57,57
"1512","T-30",407,399,404,408,408,2084,2083,2136,2147,2164
"1513","T-31",14,12,12,11,11,2426,2388,2343,2580,2712
"1514","T-32",454,455,455,454,373,1562,1513,1456,1456,1456
"1515","T-33",54,55,54,54,54,84,84,95,111,128
"1516","T-34",24,24,25,24,24,38,40,46,54,46
"1517","T-35",33,33,33,33,34,36,36,36,36,36
"1518","T-36",180,188,186,186,187,2369,2395,2381,2460,2526
"1519","T-37",107,105,106,105,105,714,726,767,775,756
"1520","T-38",23,23,23,23,22,19,19,19,19,21
"1521","T-39",111,113,108,110,110,128,120,122,118,118
"1522","T-40",280,279,278,279,278,1080,1102,1087,1100,1121
"1523","T-41",226,225,215,212,208,1546,1509,1562,1573,1597
"1524","T-42",40,42,44,43,44,417,408,415,417,426
"1525","T-44",5,5,5,5,5,20,20,20,19,19
"1526","T-45",100,100,100,99,100,732,728,732,726,730
"1527","T-46",145,145,147,148,147,1317,1305,1364,1425,1442
"1528","T-47",176,177,175,176,175,87,87,87,87,87
"1529","T-48",16,15,16,15,15,30,30,30,32,32
"1530","T-49",0,0,0,0,5,17,17,17,17,17
"1531","T-50",0,4,0,0,4,21,21,21,21,21
"1532","T-51",0,0,0,0,0,22,22,22,22,27
"1533","T-6",0,0,0,0,0,0,0,0,0,0
"1534","T-7",140,144,140,143,144,110,110,113,113,110
"1535","T-8",0,0,0,0,0,0,0,0,0,0
"1536","T-9",0,0,0,0,0,0,0,0,0,0
"1537","U-10",0,0,0,0,0,4,4,4,4,4
"1538","U-11",0,0,0,0,0,0,0,0,0,0
"1539","U-12",0,0,0,0,0,0,0,0,0,0
"1540","U-13",146,150,154,153,152,191,191,219,239,251
"1541","U-14",0,0,0,0,0,4,4,4,4,4
"1542","U-15",52,52,52,52,52,24,24,24,24,26
"1543","U-16",0,0,0,0,0,0,0,0,0,0
"1544","U-17",0,0,0,0,0,4,0,5,5,5
"1545","U-18",0,0,0,0,0,8,8,8,8,8
"1546","U-19",0,0,0,0,0,7,7,7,7,7
"1547","U-2",0,0,0,0,0,0,0,0,0,0
"1548","U-20",89,90,90,90,90,94,94,94,94,94
"1549","U-21",150,150,150,150,150,57,61,57,57,57
"1550","U-22",0,0,0,0,0,0,0,0,0,0
"1551","U-23",0,0,0,0,0,0,0,0,0,0
"1552","U-24",22,22,22,22,22,68,68,68,68,68
"1553","U-25",0,0,0,0,0,10,10,10,10,10
"1554","U-26",0,0,0,0,0,55,55,56,56,57
"1555","U-27",0,0,0,0,0,0,0,0,0,0
"1556","U-28",0,0,0,0,0,0,0,0,0,0
"1557","U-29",181,183,181,181,182,1079,1065,1093,1095,1103
"1558","U-3",134,134,134,134,134,156,156,158,158,157
"1559","U-30",259,246,246,246,247,1764,1782,1803,1893,2084
"1560","U-31",23,23,23,24,24,784,776,779,794,878
"1561","U-32",16,16,16,16,16,596,591,591,591,591
"1562","U-33",320,319,320,320,323,240,237,239,241,259
"1563","U-34",10,9,10,10,9,17,17,17,17,17
"1564","U-35",66,66,66,64,63,683,684,658,656,656
"1565","U-36",102,106,107,106,106,1517,1546,1546,1540,1607
"1566","U-37",152,153,150,149,147,1594,1611,1606,1657,1655
"1567","U-38",82,83,83,87,87,170,183,168,176,168
"1568","U-39",231,230,220,217,217,757,742,760,787,788
"1569","U-4",91,91,91,91,91,27,37,37,37,37
"1570","U-40",163,165,163,163,162,153,150,150,150,153
"1571","U-41",375,376,381,387,390,545,552,538,558,585
"1572","U-42",247,245,248,250,250,736,737,728,737,737
"1573","U-43",20,20,20,20,20,52,52,55,58,62
"1574","U-45",0,0,0,0,0,0,0,0,0,0
"1575","U-46",264,265,263,260,261,3058,3061,3068,3075,3110
"1576","U-47",157,155,157,157,157,862,866,863,863,863
"1577","U-48",11,11,11,11,11,25,25,26,26,26
"1578","U-49",16,16,16,16,18,40,40,40,40,37
"1579","U-5",0,0,0,0,0,4,4,4,4,4
"1580","U-50",17,17,16,16,17,63,64,63,63,62
"1581","U-51",0,0,0,0,0,9,9,9,9,9
"1582","U-52",0,0,0,0,0,0,0,0,0,0
"1583","U-6",101,95,94,94,94,192,197,200,201,201
"1584","U-7",34,31,34,34,34,100,100,100,70,70
"1585","U-8",0,0,0,0,0,0,0,0,0,0
"1586","U-9",0,0,0,0,0,0,0,0,0,0
"1587","V-1",0,0,0,0,0,0,0,0,0,0
"1588","V-10",0,0,0,0,0,0,0,0,0,0
"1589","V-11",0,0,0,0,0,0,0,0,0,0
"1590","V-12",0,0,0,0,0,0,0,0,0,0
"1591","V-13",5,5,5,5,5,19,19,19,19,19
"1592","V-14",53,52,58,58,58,19,22,21,22,29
"1593","V-15",20,20,20,20,20,27,27,27,27,35
"1594","V-16",146,150,158,159,161,99,96,101,101,103
"1595","V-17",0,0,0,0,0,4,4,0,0,0
"1596","V-18",19,19,19,19,19,4,6,4,4,4
"1597","V-19",90,90,90,89,89,61,59,61,67,71
"1598","V-2",34,34,35,35,35,157,157,157,157,158
"1599","V-20",0,0,0,0,0,0,0,0,0,0
"1600","V-21",0,0,0,0,0,0,0,0,0,0
"1601","V-22",69,67,70,72,77,45,45,48,48,53
"1602","V-23",50,52,50,50,51,166,166,166,177,202
"1603","V-24",0,0,0,0,0,8,8,8,8,8
"1604","V-25",7,7,7,7,7,48,48,48,48,48
"1605","V-26",13,14,14,14,14,5,5,5,5,5
"1606","V-27",178,179,180,179,179,802,801,803,805,805
"1607","V-28",19,20,20,20,20,17,14,15,15,15
"1608","V-29",274,281,281,282,282,1340,1341,1427,1494,1513
"1609","V-3",0,0,0,0,0,0,4,4,4,4
"1610","V-30",219,216,217,217,217,808,818,820,823,823
"1611","V-31",136,137,137,137,136,847,854,848,831,832
"1612","V-32",143,144,144,143,142,3842,3835,3865,3877,3917
"1613","V-33",52,52,52,52,52,783,782,782,782,783
"1614","V-34",8,9,8,8,8,99,99,99,99,99
"1615","V-35",16,16,16,16,16,132,131,132,138,138
"1616","V-36",0,0,0,0,0,61,61,61,61,62
"1617","V-37",76,77,77,77,76,139,139,139,140,145
"1618","V-38",68,72,73,74,74,546,550,546,551,551
"1619","V-39",181,181,181,184,184,244,242,235,248,243
"1620","V-4",140,139,142,144,147,204,205,205,206,212
"1621","V-40",0,0,0,0,0,5,5,5,5,5
"1622","V-41",53,53,54,55,56,10,11,11,10,9
"1623","V-42",65,62,62,61,62,51,51,51,51,51
"1624","V-43",398,397,398,399,399,1119,1119,1151,1175,1177
"1625","V-44",172,170,170,171,171,502,499,506,502,551
"1626","V-46",5,5,5,5,5,4,4,4,4,4
"1627","V-47",257,258,257,257,257,1181,1181,1191,1326,1324
"1628","V-48",32,32,32,32,32,589,586,589,590,590
"1629","V-49",16,16,16,16,16,17,17,17,17,17
"1630","V-5",35,37,35,35,35,9,10,10,10,10
"1631","V-50",30,30,30,30,30,24,24,24,24,26
"1632","V-51",111,111,111,112,121,296,295,296,295,312
"1633","V-52",0,0,0,0,0,5,5,5,5,5
"1634","V-53",0,0,0,0,0,0,0,0,0,0
"1635","V-6",0,0,0,0,0,0,0,0,0,0
"1636","V-7",0,0,0,0,0,11,9,9,10,10
"1637","V-8",0,0,0,0,0,0,0,0,0,0
"1638","V-9",0,0,0,0,0,0,0,0,0,0
"1639","W-1",119,121,120,120,121,224,224,224,224,224
"1640","W-10",0,0,0,0,0,0,0,0,0,0
"1641","W-11",0,0,0,0,0,0,0,0,0,0
"1642","W-12",0,0,0,0,0,0,0,0,0,0
"1643","W-13",49,49,50,51,58,63,60,63,63,64
"1644","W-14",0,0,0,0,0,0,0,0,0,0
"1645","W-15",0,0,0,0,0,9,9,9,9,9
"1646","W-16",15,15,16,16,16,13,13,13,13,13
"1647","W-17",0,0,0,0,0,0,0,0,0,0
"1648","W-18",56,57,58,58,60,41,44,44,44,44
"1649","W-19",13,12,12,11,11,64,64,64,66,66
"1650","W-2",193,194,194,194,197,196,195,197,197,195
"1651","W-20",0,0,0,0,0,0,0,0,0,0
"1652","W-21",4,4,4,4,0,14,14,14,14,15
"1653","W-22",8,8,8,8,8,15,15,15,15,15
"1654","W-23",0,0,0,0,0,0,0,0,0,0
"1655","W-24",8,8,8,8,8,10,8,8,8,9
"1656","W-25",102,101,101,101,103,140,141,141,144,165
"1657","W-26",207,210,209,212,213,301,302,302,317,323
"1658","W-27",181,190,189,189,191,1996,2058,2080,2096,2133
"1659","W-28",56,56,55,55,56,291,299,295,296,350
"1660","W-29",127,126,126,125,129,1827,1826,1850,1852,1849
"1661","W-3",256,259,259,267,268,204,213,241,267,272
"1662","W-30",54,54,54,54,54,354,354,354,354,349
"1663","W-31",180,181,178,182,177,1734,1734,1741,1816,1844
"1664","W-32",405,404,404,404,402,1307,1307,1315,1315,1311
"1665","W-33",0,0,0,0,0,37,43,37,37,38
"1666","W-34",61,62,59,59,62,111,111,115,115,116
"1667","W-35",355,355,358,358,359,537,539,550,550,550
"1668","W-36",42,65,62,61,61,516,508,543,546,545
"1669","W-37",0,0,0,0,0,11,11,11,11,13
"1670","W-38",128,128,131,132,131,833,826,835,839,839
"1671","W-39",118,117,118,120,120,176,176,183,184,184
"1672","W-4",52,52,52,52,52,7,7,7,7,7
"1673","W-40",10,10,10,10,11,27,30,30,30,31
"1674","W-41",12,12,12,12,13,13,13,13,13,13
